id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped
rancho-san-geronimo,San Geronimo,1844,micheltorena,Micheltorena,Rafael Cacho,8701,2,,ND 283,Confirmed,Jose W. Revere,"April 4, 1860","8,701.00",39,,https://digicoll.lib.berkeley.edu/record/256614,https://ranchos.archivesofcalifornia.com/r/rancho-san-geronimo.html,yes
rancho-tujunga,Tujunga,1840,alvarado,Alvarado,David W. Alexander and Francisc Mellus,6660,,Los Angeles,SD 052,Confirmed,David W. Alexander et al,"Oct. 19, 1874","6,660.71",413,,https://digicoll.lib.berkeley.edu/record/266089,https://ranchos.archivesofcalifornia.com/r/rancho-tujunga.html,yes
rancho-tequepis,Tequepis,1845,pico,Pío Pico,Antonio M. Villa,8919,,Santa Barbara,SD 064,Confirmed,Antonio M. Villa,"July 24, 1869","8,919.00",365,,https://digicoll.lib.berkeley.edu/record/266099,https://ranchos.archivesofcalifornia.com/r/rancho-tequepis.html,yes
rancho-rincon-esteros-2,Rincon De Los Esteros (White),1838,alvarado,Alvarado,Ellen E. White,2000,,Santa Clara,ND 238,Confirmed,Ellen E. White,"May 23, 1862","2,308.17",139,,https://digicoll.lib.berkeley.edu/record/256572,https://ranchos.archivesofcalifornia.com/r/rancho-rincon-esteros-2.html,yes
rancho-niscasio,Niscasio (Frink & Reynolds),1844,micheltorena,Micheltorena,"Henry W. Hallack, James Black, and Benjamin R. Buckelew",30848,,,ND 392,Confirmed,"Henry W. Hallack, James Black, and Benjamin R. Buckelew","Nov. 1, 1861",,32,,https://digicoll.lib.berkeley.edu/record/264241,https://ranchos.archivesofcalifornia.com/r/rancho-niscasio.html,yes
rancho-san-andres,San Andres,1833,figueroa,Jose Figueroa,Joaquin Castro,8911,2,Santa Cruz,SD 100,Confirmed,"Guadalupe Castro and Juan Castro, executors","Jan. 31, 1876","8,911.53",219,,https://digicoll.lib.berkeley.edu/record/266105,https://ranchos.archivesofcalifornia.com/r/rancho-san-andres.html,yes
rancho-corte-madera-novato,Corte Madera De Novato,1839,alvarado,Alvarado,J. Martin,8878,2,Marin,ND 134,Confirmed,Juan,"Martin May 23, 1862","8,878.82",47,,https://digicoll.lib.berkeley.edu/record/265494,https://ranchos.archivesofcalifornia.com/r/rancho-corte-madera-novato.html,yes
rancho-butano,Butano,1838,alvarado,Alvarado (ratified by Micheltorena),Romana Sanchez,4439,1,San Mateo,ND 271,Confirmed,Manuel Rodriguez,"April 30, 1866","4,439.67",191,,https://digicoll.lib.berkeley.edu/record/256603,https://ranchos.archivesofcalifornia.com/r/rancho-butano.html,yes
rancho-bolsa-pajaro,Bolsa Del Pajaro,1837,alvarado,Alvarado,S. Rodriguez,5496,2,Santa Cruz,SD 289,Confirmed,Sebastion Rodriguez,"Jan. 4, 1860","5,496.50",220,,https://digicoll.lib.berkeley.edu/record/268916,https://ranchos.archivesofcalifornia.com/r/rancho-bolsa-pajaro.html,yes
rancho-agua-caliente,Agua Caliente,1839,alvarado,Nicolas Gutierrez; Alvarado,F. Higuera,9563,2,Alameda,ND 133,Confirmed,Fulgencio Higuera,"Apl. 17, 1858","9,563.87",136,,https://digicoll.lib.berkeley.edu/record/265493,https://ranchos.archivesofcalifornia.com/r/rancho-agua-caliente.html,yes
rancho-san-francisquito-1,San Francisquito (Dalton),1845,pico,Pio Pico,H. Dalton,8893,2,,SD 022,Confirmed,Henry Dalton,"May 30, 1867","8,893.62",447,22 How. 436,https://digicoll.lib.berkeley.edu/record/266062,https://ranchos.archivesofcalifornia.com/r/rancho-san-francisquito-1.html,yes
rancho-san-leandro,San Leandro,1842,alvarado,Alvarado,José Joaquín Estudillo,6829,,Alameda,ND 234,Confirmed,Jos\u00e9 Joaqu\u00edn Estudillo,"July 15, 1863","6,829.58",131,,https://digicoll.lib.berkeley.edu/record/256568,https://ranchos.archivesofcalifornia.com/r/rancho-san-leandro.html,yes
rancho-calleguas,Calleguas,1837,alvarado,Alvarado,Jose Pedro Ruiz,9998,,Ventura,SD 060,Confirmed,Gabriel Ruiz,"Mar. 22, 1866","9,998.29",407,,https://digicoll.lib.berkeley.edu/record/266095,https://ranchos.archivesofcalifornia.com/r/rancho-calleguas.html,yes
rancho-punta-reyes,Punta De Los Reyes (Randall),1836,interim,Alvarado,James Richard Berry,8887,2,Marin,ND 385,Confirmed,Andrew Randall,"June 4, 1860","8,887.68",33,,https://digicoll.lib.berkeley.edu/record/264236,https://ranchos.archivesofcalifornia.com/r/rancho-punta-reyes.html,yes
rancho-paso-bartolo,Paso De Bartolo (Pico),1835,figueroa,Jose Figueroa,Juan Crispin Perez,8991,2,Los Angeles,SD 087,Confirmed,,,,464,,https://digicoll.lib.berkeley.edu/record/265834,https://ranchos.archivesofcalifornia.com/r/rancho-paso-bartolo.html,yes
rancho-guesisosi,Guesisosi,1843,micheltorena,Micheltorena,William Gordon,8894,2,,ND 026,Confirmed,William Gordan,"Feb. 4, 1860","8,894.49",85,,https://digicoll.lib.berkeley.edu/record/264414,https://ranchos.archivesofcalifornia.com/r/rancho-guesisosi.html,yes
rancho-natividad,La Natividad,1837,alvarado,Alvarado,M. Butron and N. Alviso,8642,2,Monterey,SD 361,Confirmed,Ramona Butron et al,"Oct. 1, 1874","8,642.21",251,,https://digicoll.lib.berkeley.edu/record/268983,https://ranchos.archivesofcalifornia.com/r/rancho-natividad.html,yes
rancho-cabeza-santa-rosa,Cabeza De Santa Rosa,1841,alvarado,Jimeno,Maria Ygnacia Lopez,4500,,Sonoma,ND 124,Confirmed,Julio Carrillo,"July 16, 1866","4,500.42",63,,https://digicoll.lib.berkeley.edu/record/265484,https://ranchos.archivesofcalifornia.com/r/rancho-cabeza-santa-rosa.html,yes
rancho-tepusquet,Tepusquet,1837,alvarado,Alvarado,Tomas Olivera,8900,2,Santa Barbara,SD 336,Confirmed,,"Feb. 23, 1871",,349,,https://digicoll.lib.berkeley.edu/record/268959,https://ranchos.archivesofcalifornia.com/r/rancho-tepusquet.html,yes
rancho-canada,La Canada,1843,micheltorena,Micheltorena,Ygnacio Coronel,5832,2,Los Angeles,SD 316,Confirmed,Jonathan R. Scott and Benjamin Hayes,"Aug. 1, 1866","5,832.10",414,,https://digicoll.lib.berkeley.edu/record/268941,https://ranchos.archivesofcalifornia.com/r/rancho-canada.html,yes
rancho-canada-corral,Canada Del Corral,1841,alvarado,Alvarado,José Dolores Ortega,8875,,Santa Barbara,SD 152,Confirmed,Jose D. Ortega,"May 30, 1866","8,875.76",380,,https://digicoll.lib.berkeley.edu/record/266112,https://ranchos.archivesofcalifornia.com/r/rancho-canada-corral.html,yes
rancho-san-francisquito-2,San Francisquito,1839,alvarado,Alvarado,Antonio Buelna,1471,,Monterey,ND 206,Confirmed,Maria Concepcion Valencia de Rodriquez,"June 8, 1868","1,471.00",174,,https://digicoll.lib.berkeley.edu/record/265799,https://ranchos.archivesofcalifornia.com/r/rancho-san-francisquito-2.html,yes
rancho-canada-rincon-en-rio-san-lorenco-santa-cruz,Canada Del Rincon En El Rio San Lorenco De Santa Cruz,1843,pico,Micheltorena; Pico,Pedro Sainsevain,5826,,,SD 391,Confirmed,Pedro Sainsevain,"June 4, 1858","5,826.86",208,,https://digicoll.lib.berkeley.edu/record/269009,https://ranchos.archivesofcalifornia.com/r/rancho-canada-rincon-en-rio-san-lorenco-santa-cruz.html,yes
rancho-zanjones,Zanjones,1839,alvarado,Alvarado,Mariano Malarin,6714,,Monterey,SD 108,Confirmed,,,,271,,https://digicoll.lib.berkeley.edu/record/265849,https://ranchos.archivesofcalifornia.com/r/rancho-zanjones.html,yes
rancho-cruces,Las Cruces,1837,alvarado,Alvarado,Vicente Cordero,8512,,Santa Barbara,ND 430,Confirmed,Vicente Cordero et al,"July 7, 1883","8,512.81",549,,https://digicoll.lib.berkeley.edu/record/264273,https://ranchos.archivesofcalifornia.com/r/rancho-cruces.html,yes
rancho-juristac,Juristac,1835,interim,the interim government,Antonio and Faustino German,4540,,Santa Clara,SD 396,Confirmed,"Jacob L. Sargent, Roswell V. Sargent, and Robert S. Carlisle","Nov. 13, 1871","4,540.44",241,,https://digicoll.lib.berkeley.edu/record/269013,https://ranchos.archivesofcalifornia.com/r/rancho-juristac.html,yes
rancho-san-antonio-1,San Antonio (Y. Peralta),1820,micheltorena,Sola; Arguello; Micheltorena,Ignacio Peralta,9416,,,ND 099,Confirmed,Ignacio Peralta,"Feb. 3, 1858","9,416.66",130,,https://digicoll.lib.berkeley.edu/record/265459,https://ranchos.archivesofcalifornia.com/r/rancho-san-antonio-1.html,yes
rancho-agua-caliente-1,Agua Caliente,1836,alvarado,Alvarado,Lazaro Pina,1864,,,ND 153,Confirmed,Mariano G. Vallejo,"June 12, 1880","1,864.23",67,11 Wall. 566; 156 U.S. 387,https://digicoll.lib.berkeley.edu/record/265513,https://ranchos.archivesofcalifornia.com/r/rancho-agua-caliente-1.html,yes
