id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped
rancho-san-geronimo-1,San Geronimo,1842,alvarado,Alvarado,R. Vilavicencio,8893,2,San Luis Obispo,SD 008,Confirmed,Rafael Villavicancio,"July 10, 1876","8,893.35",324,,https://digicoll.lib.berkeley.edu/record/266049,https://ranchos.archivesofcalifornia.com/r/rancho-san-geronimo-1.html,yes
rancho-canada-san-felipe-animas,Canada De San Felipe Y Las Animas,1839,alvarado,Jimeno,Tomas Bonn,8787,2,Santa Clara,SD 332,Confirmed,Charles M. Weber,"Aug. 9, 1866","8,787.80",197,,https://digicoll.lib.berkeley.edu/record/268955,https://ranchos.archivesofcalifornia.com/r/rancho-canada-san-felipe-animas.html,yes
rancho-guejito,Guejito,1845,pico,Pio Pico,Jose Maria Orosio,13298,3,San Diego,SD 084,Confirmed,George W. Hamley,"May 24, 1866","13,298.59",515,,https://digicoll.lib.berkeley.edu/record/264213,https://ranchos.archivesofcalifornia.com/r/rancho-guejito.html,yes
rancho-bolsa-potrero-moro-cojo-sagrada-familia,Bolsa Del Potrero Y Moro Cojo Or La Sagrada Familia,1822,spanish,a Spanish governor,John B. R. Cooper,6915,,Monterey,SD 007,Confirmed,John B.R. Cooper,"Dec. 19, 1859","6,915.77",254,,https://digicoll.lib.berkeley.edu/record/266048,https://ranchos.archivesofcalifornia.com/r/rancho-bolsa-potrero-moro-cojo-sagrada-familia.html,yes
rancho-meganos,Los Meganos,1835,interim,Jose Castro,Jose Noriega,13316,,Contra Costa,ND 107,Confirmed,Alice,"Marsh Aug. 19, 1867","13,316.00",110,,https://digicoll.lib.berkeley.edu/record/265467,https://ranchos.archivesofcalifornia.com/r/rancho-meganos.html,yes
rancho-canada-verde-arroyo-purisima,Canada De Verde Y Arroyo De La Purisima,1838,alvarado,Alvarado,Jose Maria Alvisu,8905,2,San Mateo,ND 350,Confirmed,Jos\u00e9 Antonio Alviso,"Dec. 15, 1865","8,905.58",,23 How. 318,https://digicoll.lib.berkeley.edu/record/264187,https://ranchos.archivesofcalifornia.com/r/rancho-canada-verde-arroyo-purisima.html,yes
rancho-lomas-purificacion,Lomas De La Purificacion,1844,micheltorena,Micheltorena,Agustín Yansens,13341,,Santa Barbara,SD 115,Confirmed,Augustin Yansens,"Apl. 8, 1871","13,341.39",366,,https://digicoll.lib.berkeley.edu/record/265856,https://ranchos.archivesofcalifornia.com/r/rancho-lomas-purificacion.html,yes
rancho-santa-clara-norte,Santa Clara Del Norte,1837,alvarado,Alvarado,J. Sanchez,13988,,Ventura,SD 090,Confirmed,Juan Sanchez,"Nov. 5, 1869","13,988.91",402,,https://digicoll.lib.berkeley.edu/record/265837,https://ranchos.archivesofcalifornia.com/r/rancho-santa-clara-norte.html,yes
rancho-canada-pogolimi,Canada De Pogolimi,1844,micheltorena,Micheltorena,Antonio Cazares,8780,2,Sonoma,ND 044,Confirmed,Maria Antonia Cazares,"Nov. 3, 1858","8,780.81",51,,https://digicoll.lib.berkeley.edu/record/264431,https://ranchos.archivesofcalifornia.com/r/rancho-canada-pogolimi.html,yes
rancho-rincon-diablo,Rincon Del Diablo,1843,micheltorena,Micheltorena,Juan B. Alvarado,12653,,San Diego,SD 312,Confirmed,the heirs of Juan B. Alvarado,"May 3, 1872","12,653.77",516,,https://digicoll.lib.berkeley.edu/record/268937,https://ranchos.archivesofcalifornia.com/r/rancho-rincon-diablo.html,yes
rancho-moro-cayucos,Moro Y Cayucos,1837,alvarado,Alvarado,James McKinley,8845,,San Luis Obispo,SD 155,Confirmed,James McKinley,"Jan. 19, 1878","8,845.49",325,,https://digicoll.lib.berkeley.edu/record/266115,https://ranchos.archivesofcalifornia.com/r/rancho-moro-cayucos.html,yes
rancho-san-pedro,San Pedro,1839,alvarado,Alvarado,F. Sanchez,8926,2,Marin,ND 082,Confirmed,Francisco Sanchez,"Nov. 8, 1870","8,926.46",164,,https://digicoll.lib.berkeley.edu/record/256559,https://ranchos.archivesofcalifornia.com/r/rancho-san-pedro.html,yes
rancho-valle-san-felipe,Valle De San Felipe,1846,pico,Pío Pico,Juan Forster,9972,,San Diego,SD 329,Confirmed,Juan Forster,"Aug. 6, 1866","9,972.08",511,,https://digicoll.lib.berkeley.edu/record/268952,https://ranchos.archivesofcalifornia.com/r/rancho-valle-san-felipe.html,yes
rancho-rincon-musalacon,Rincon De Musalacon,1846,pico,Pio Pico,Francisco Berreyesa,8866,2,Sonoma,ND 222,Confirmed,"Johnson Horrell, Joseph Green, and Ramon de la Riva","June 9, 1866","8,866.89",56,,https://digicoll.lib.berkeley.edu/record/265814,https://ranchos.archivesofcalifornia.com/r/rancho-rincon-musalacon.html,yes
rancho-guadalupe-llanitos-correos,Guadalupe Y Llanitos De Los Correos,1833,figueroa,Figueroa,Mariano Malarin,8858,,Monterey,SD 109,Confirmed,"Mariano Malarin, executor","June 29, 1865","8,858.44",273,,https://digicoll.lib.berkeley.edu/record/265850,https://ranchos.archivesofcalifornia.com/r/rancho-guadalupe-llanitos-correos.html,yes
rancho-nojoqui,Nojoqui,1843,micheltorena,Micheltorena,Raimundo Carrillo,13284,,Santa Barbara,SD 029,Confirmed,Raimundo Carrillo,"Sept. 11, 1869","13,284.50",367,,https://digicoll.lib.berkeley.edu/record/266068,https://ranchos.archivesofcalifornia.com/r/rancho-nojoqui.html,yes
rancho-san-bernabe,San Bernabe,1841,alvarado,Alvarado,Jesus Molina and Petronillo Rios,13296,3,Monterey,SD 306,Confirmed,Henry Cocks,"Mar. 27, 1873","13,296.38",303,,https://digicoll.lib.berkeley.edu/record/268932,https://ranchos.archivesofcalifornia.com/r/rancho-san-bernabe.html,yes
rancho-mallacomes-moristul-plan-agua-caliente,Mallacomes Or Moristul Y Plan De Agua Caliente,1841,micheltorena,Micheltorena,J. de los Santos Berreyesa,17742,4,,ND 161,Confirmed,Jose de los Santos Berreyesa,"July 20, 1873","17,742.72",61,,https://digicoll.lib.berkeley.edu/record/265521,https://ranchos.archivesofcalifornia.com/r/rancho-mallacomes-moristul-plan-agua-caliente.html,yes
rancho-jamul,Jamul,1831,interim,Victoria,Pio Pico,8926,2,San Diego,SD 367,Patented,the heirs of Henry S. Burton,"Oct. 26, 1876","8,926.22",541,,https://digicoll.lib.berkeley.edu/record/256664,https://ranchos.archivesofcalifornia.com/r/rancho-jamul.html,yes
rancho-santa-teresa,Santa Teresa,1834,figueroa,Figueroa,Agustín Bernal,9647,,Santa Clara,ND 181,Confirmed,Agustin Bernal,"Mar. 8, 1867","9,647.13",184,,https://digicoll.lib.berkeley.edu/record/265540,https://ranchos.archivesofcalifornia.com/r/rancho-santa-teresa.html,yes
rancho-san-miguel-2,San Miguel,1840,alvarado,Alvarado,Guadalupe Vasquez,6663,,Sonoma,ND 326,Confirmed,the widow and heirs of Marcus West,"June 29, 1865","6,663.23",62,,https://digicoll.lib.berkeley.edu/record/256653,https://ranchos.archivesofcalifornia.com/r/rancho-san-miguel-2.html,yes
rancho-san-juan-bautista,San Juan Bautista,1844,micheltorena,Micheltorena,J. A. Narvaez,8879,2,Santa Clara,ND 007,Confirmed,José Agustín Narvaez,"Dec. 1, 1865","8,879.54",185,,https://digicoll.lib.berkeley.edu/record/264400,https://ranchos.archivesofcalifornia.com/r/rancho-san-juan-bautista.html,yes
rancho-santa-gertrudes-1,Santa Gertrudes (Mc Farland & Downey),1834,figueroa,Jose Figueroa,Josefa Cota de Nieto,17602,5,Los Angeles,SD 194,Confirmed,James P. McFarland and John G. Downey,"Aug. 19, 1870","17,602.01",466,,https://digicoll.lib.berkeley.edu/record/268898,https://ranchos.archivesofcalifornia.com/r/rancho-santa-gertrudes-1.html,yes
rancho-olompali,Olompali,1843,micheltorena,Micheltorena,C. Ynitia,8877,2,Marin,ND 010,Confirmed,Camilo Inita,"Dec. 18, 1862","8,877.48",48,,https://digicoll.lib.berkeley.edu/record/264403,https://ranchos.archivesofcalifornia.com/r/rancho-olompali.html,yes
rancho-san-antonio-2,San Antonio,1820,spanish,Solá,Luís María Peralta,15207,,,ND 098,Confirmed,,"June 25, 1874",,130,,https://digicoll.lib.berkeley.edu/record/102017,https://ranchos.archivesofcalifornia.com/r/rancho-san-antonio-2.html,yes
rancho-huerhuero,Huerhuero,1842,alvarado,Alvarado,Francis Branch,15684,,San Luis Obispo,SD 196,Confirmed,Francis Branch,"Aug. 9, 1866","15,684.95",315,,https://digicoll.lib.berkeley.edu/record/267540,https://ranchos.archivesofcalifornia.com/r/rancho-huerhuero.html,yes
rancho-rincon-puente-monte,Rincon De La Puente Del Monte,1836,interim,the interim government,Teodora Gonzales,15218,,Monterey,SD 101,Confirmed,Teodoro Gonzales,"Nov. 28, 1866","15,218.62",272,,https://digicoll.lib.berkeley.edu/record/265844,https://ranchos.archivesofcalifornia.com/r/rancho-rincon-puente-monte.html,yes
rancho-cucamonga,Cucamonga,1839,alvarado,Alvarado,Tiburcio Tapia,13045,3,San Bernardino,SD 214,Confirmed,Leon V. Prudhomme,"Dec. 9, 1872","13,045.21",479,,https://digicoll.lib.berkeley.edu/record/267557,https://ranchos.archivesofcalifornia.com/r/rancho-cucamonga.html,yes
rancho-monserate,Monserate,1846,pico,Pio Pico,Y. M. Alvarado,13322,3,San Diego,SD 224,Confirmed,Isidro Alvarado,"July 17, 1872","13,322.90",506,,https://digicoll.lib.berkeley.edu/record/267565,https://ranchos.archivesofcalifornia.com/r/rancho-monserate.html,yes
rancho-santa-rita,Santa Rita (Malo),1845,pico,Pío Pico,Jose Ramon Malo,13316,,,SD 219,Confirmed,Jose Ramon Malo,"June 25, 1875","13,316.05",323,,https://digicoll.lib.berkeley.edu/record/267561,https://ranchos.archivesofcalifornia.com/r/rancho-santa-rita.html,yes
rancho-canada-hambre-bolsas-1,Canada Del Hambre Y Las Bolsas,1838,alvarado,Alvarado,Teodora Soto,13353,2,Contra Costa,ND 308,Confirmed,Teodora Soto,"Dec. 31, 1866","13,353.95",114,,https://digicoll.lib.berkeley.edu/record/256637,https://ranchos.archivesofcalifornia.com/r/rancho-canada-hambre-bolsas-1.html,yes
rancho-san-bernardo-1,San Bernardo (Snook),1842,alvarado,Alvarado,Jose Francisco Snook,17763,,,SD 341,Confirmed,,,,524,,https://digicoll.lib.berkeley.edu/record/102016,https://ranchos.archivesofcalifornia.com/r/rancho-san-bernardo-1.html,yes
rancho-niscasio-1,Niscasio (Black),1844,micheltorena,Micheltorena,"Henry W. Hallack, James Black, and Benjamin R. Buckelew",30848,,,ND 392,Confirmed,"Henry W. Hallack, James Black, and Benjamin R. Buckelew","Nov. 1, 1861",,32,,https://digicoll.lib.berkeley.edu/record/264241,https://ranchos.archivesofcalifornia.com/r/rancho-niscasio-1.html,yes
rancho-bolsa-san-cayetano,Bolsa De San Cayetano,1817,spanish,a Spanish governor,José de Jesús Vallejo,8866,,Monterey,SD 035,Confirmed,Jose de Jesus Vallejo,"Feb. 14, 1865","8,866.43",221,,https://digicoll.lib.berkeley.edu/record/266074,https://ranchos.archivesofcalifornia.com/r/rancho-bolsa-san-cayetano.html,yes
rancho-santa-ana,Santa Ana,1837,alvarado,Alvarado,Crisogono Ayala and Cosme Vanegas,21522,,Ventura,SD 097,Confirmed,Crisgono Ayala et al,"Dec. 22, 1870","21,522.04",388,,https://digicoll.lib.berkeley.edu/record/265841,https://ranchos.archivesofcalifornia.com/r/rancho-santa-ana.html,yes
rancho-arroyo-seco,Arroyo Seco (Torre),1840,alvarado,Alvarado,J. de la Torre,16523,4,,SD 040,Confirmed,Joaquin de la Torre,"June 30, 1859","16,523",297,,https://digicoll.lib.berkeley.edu/record/266077,https://ranchos.archivesofcalifornia.com/r/rancho-arroyo-seco.html,yes
rancho-santa-rosa,Santa Rosa (Estrada),1841,alvarado,Alvarado,Julian Estrada,13183,,,SD 073,Confirmed,Julian Estrada,"Mar. 18, 1865","13,183.62",323,,https://digicoll.lib.berkeley.edu/record/265823,https://ranchos.archivesofcalifornia.com/r/rancho-santa-rosa.html,yes
rancho-canada-raymundo,Canada De Raymundo,1840,alvarado,Alvarado,John Coppinger,12545,,San Mateo,ND 075,Confirmed,Maria Luisa Greer and Manuela Coppinger,"July 19, 1859","12,545.01",168,,https://digicoll.lib.berkeley.edu/record/264458,https://ranchos.archivesofcalifornia.com/r/rancho-canada-raymundo.html,yes
rancho-canada-pala,Canada De Pala,1839,alvarado,Alvarado,J. de Jesus Bernal,15714,,Santa Clara,ND 373,Confirmed,"José de Jesus Bernal, José Antonion Bernal, and Juan Bernal y Castro","Mar. 9, 1863","15,714.10",181,,https://digicoll.lib.berkeley.edu/record/264209,https://ranchos.archivesofcalifornia.com/r/rancho-canada-pala.html,yes
rancho-collayomi,Collayomi,1844,micheltorena,Micheltorena,Robert F. Ridley,8241,3,Lake,ND 014,Confirmed,A.A. Ritchie and P.S. Forbes,"Jan. 5, 1863","8,241.74",59,,https://digicoll.lib.berkeley.edu/record/264406,https://ranchos.archivesofcalifornia.com/r/rancho-collayomi.html,yes
rancho-niguel,Niguel,1842,alvarado,Alvarado,J. Abila et al,13316,3,Orange,SD 130,Confirmed,Juan Abila et al,"Apl. 5, 1875","13,316.01",501,,https://digicoll.lib.berkeley.edu/record/265869,https://ranchos.archivesofcalifornia.com/r/rancho-niguel.html,yes
rancho-catacula,Catacula,1844,micheltorena,Micheltorena,José B. Chiles,8545,,Napa,ND 072,Confirmed,Joseph B. Chiles,"Apl. 22, 1865","8,545.72",82,,https://digicoll.lib.berkeley.edu/record/264455,https://ranchos.archivesofcalifornia.com/r/rancho-catacula.html,yes
rancho-quito,Quito,1841,alvarado,Alvarado,Manuel Alviso,309,,Santa Clara,ND 226,Confirmed,Manuel Alviso,"May 14, 1866",,187,,https://digicoll.lib.berkeley.edu/record/266038,https://ranchos.archivesofcalifornia.com/r/rancho-quito.html,yes
rancho-san-vincente,San Vincente (Escarrilla),1846,pico,Pio Pico,B. A. Escarilla,10802,,,SD 280,Confirmed,Blas A. Escamillo,"May 6, 1870","10,802.60",204,,https://digicoll.lib.berkeley.edu/record/268907,https://ranchos.archivesofcalifornia.com/r/rancho-san-vincente.html,yes
rancho-sanel,Sanel,1844,micheltorena,Micheltorena,Fernando Feliz,17754,,Mendocino,ND 022,Confirmed,Fernando Feliz,"Dec. 18, 1860","17,754.38",24,,https://digicoll.lib.berkeley.edu/record/264411,https://ranchos.archivesofcalifornia.com/r/rancho-sanel.html,yes
rancho-san-jose-1,San Jose (Dalton Et Al),1837,alvarado,Alvarado,Y. Palomares,4430,2,Los Angeles,SD 122,Confirmed,"Henry Dalton, Ignacio Palomares, and Ricardo Vijar","Dec. 4, 1875","4,430.64",457,,https://digicoll.lib.berkeley.edu/record/265863,https://ranchos.archivesofcalifornia.com/r/rancho-san-jose-1.html,yes
rancho-tulucay,Tulucay,1841,alvarado,Alvarado,Cayetano Juarez,8865,,Napa,ND 045,Confirmed,Cayetano Juarez,"Jan. 31, 1861","8,865.58",75,,https://digicoll.lib.berkeley.edu/record/264432,https://ranchos.archivesofcalifornia.com/r/rancho-tulucay.html,yes
rancho-santa-anita,Santa Anita,1845,pico,Alvarado (finally Pio Pico),Perfecto Hugo Reid,13319,3,Los Angeles,SD 086,Confirmed,Henry Dalton,"Aug. 9, 1866","13,319.06",454,,https://digicoll.lib.berkeley.edu/record/265833,https://ranchos.archivesofcalifornia.com/r/rancho-santa-anita.html,yes
rancho-canada-capitancillos,Canada De Los Capitancillos,1842,alvarado,Alvarado,Justo Larios,3360,three-fourths,Santa Clara,ND 132,Patented,Charles Fossatt,"Feb. 3, 1865","3,360.48",194,20 How. 413; 21 How. 445,https://digicoll.lib.berkeley.edu/record/265492,https://ranchos.archivesofcalifornia.com/r/rancho-canada-capitancillos.html,yes
rancho-vallecitos-san-marcos,Los Vallecitos De San Marcos,1840,alvarado,Alvarado,Jose Maria Alvarado,8877,2,San Diego,SD 192,Confirmed,Lorenzo Soto,"Mar. 1, 1883","8,877.49",200,,https://digicoll.lib.berkeley.edu/record/264215,https://ranchos.archivesofcalifornia.com/r/rancho-vallecitos-san-marcos.html,yes
rancho-santa-manuela,Santa Manuela,1837,alvarado,Alvarado,Francisco Branch,16954,,San Luis Obispo,SD 024,Confirmed,Francisco Branch,"Aug. 22, 1868","16,954.83",338,,https://digicoll.lib.berkeley.edu/record/266064,https://ranchos.archivesofcalifornia.com/r/rancho-santa-manuela.html,yes
rancho-sierra,La Sierra (Sepulveda),1846,pico,Pio Pico,V. Sepulveda,17774,4,Riverside,SD 362,Confirmed,Vicenta Sepulveda,"Apl. 28, 1877","17,774.19",484,,https://digicoll.lib.berkeley.edu/record/268984,https://ranchos.archivesofcalifornia.com/r/rancho-sierra.html,yes
rancho-san-antonio-3,San Antonio (A. M. Peralta),1820,spanish,Solá,Luis María Peralta,15207,,,ND 098,Confirmed,,"June 25, 1874",,130,,https://digicoll.lib.berkeley.edu/record/102017,https://ranchos.archivesofcalifornia.com/r/rancho-san-antonio-3.html,yes
rancho-valle-paro-santa-maria,Valle De Paro Or Santa Maria,1843,micheltorena,Micheltorena,J. J. Ortega and Eduardo Stokes,17708,4,,SD 195,Confirmed,Jose Joaquin Ortega et al,"July 30, 1872","17,708.85",514,,https://digicoll.lib.berkeley.edu/record/268899,https://ranchos.archivesofcalifornia.com/r/rancho-valle-paro-santa-maria.html,yes
rancho-san-francisco-llagas,San Francisco De Las Llagas,1834,figueroa,Jose Figueroa,Carlos Castro,22283,6,Santa Clara,ND 147,Confirmed,James and Martin Murphy,"Mar. 19, 1868","22,283.24",226,,https://digicoll.lib.berkeley.edu/record/265507,https://ranchos.archivesofcalifornia.com/r/rancho-san-francisco-llagas.html,yes
rancho-encinal-buena-esperanza,Encinal Y Buena Esperanza,1834,figueroa,Jose Figueroa; Alvarado,D. S. Spence,13351,2,Monterey,SD 004,Confirmed,David S. Spence,"May 23, 1862","13,351.64",269,,https://digicoll.lib.berkeley.edu/record/266045,https://ranchos.archivesofcalifornia.com/r/rancho-encinal-buena-esperanza.html,yes
rancho-temascal,Temascal,1843,micheltorena,Micheltorena,Manuel Anguisola,13339,,,SD 153,Confirmed,Ramon de la Cuesta and Francisco Gonzales Camino,"Sept. 10, 1871","13,339.07",398,,https://digicoll.lib.berkeley.edu/record/266113,https://ranchos.archivesofcalifornia.com/r/rancho-temascal.html,yes
rancho-trabuco,Trabuco,1846,pico,Pico,Santiago Arguello et al,22184,5,Orange,SD 216,Confirmed,Juan Forster,"Aug. 6, 1866","22,184.47",497,,https://digicoll.lib.berkeley.edu/record/267559,https://ranchos.archivesofcalifornia.com/r/rancho-trabuco.html,yes
rancho-potrero-cerritos,Potrero De Las Cerritos,1844,micheltorena,Micheltorena,Tomás Pacheco and Agustín Alviso,10610,,Alameda,ND 119,Confirmed,Thomas Pacheco and Augustine Alviso,"Feb. 21, 1866","10,610.26",134,,https://digicoll.lib.berkeley.edu/record/265479,https://ranchos.archivesofcalifornia.com/r/rancho-potrero-cerritos.html,yes
rancho-santa-rita-1,Santa Rita,1839,alvarado,Alvarado,J. D. Pacheco,8894,,Alameda,ND 155,Confirmed,Jose Dolores Pacheco,"Mar. 18, 1865","8,894.01",119,,https://digicoll.lib.berkeley.edu/record/265515,https://ranchos.archivesofcalifornia.com/r/rancho-santa-rita-1.html,yes
rancho-nicasio,Nicasio (Buckelew),1844,micheltorena,Micheltorena,"Henry W. Hallack, James Black, and Benjamin R. Buckelew",30848,,Marin,ND 392,Confirmed,"Henry W. Hallack, James Black, and Benjamin R. Buckelew","Nov. 1, 1861",,32,,https://digicoll.lib.berkeley.edu/record/264241,https://ranchos.archivesofcalifornia.com/r/rancho-nicasio.html,yes
rancho-tzabaco,Tzabaco,1843,micheltorena,Micheltorena,José de Jesús Peña,15439,,Sonoma,ND 374,Confirmed,the heirs of José German Peña,"Nov. 19, 1859","15,439.32",55,,https://digicoll.lib.berkeley.edu/record/264210,https://ranchos.archivesofcalifornia.com/r/rancho-tzabaco.html,yes
rancho-llano-seco,Llano Seco,1845,pico,Pío Pico,Charles J. Brenham,17767,,Butte,ND 398,Confirmed,Charles J. Brenham et al,"June 18, 1860","17,767.17",12,,https://digicoll.lib.berkeley.edu/record/264245,https://ranchos.archivesofcalifornia.com/r/rancho-llano-seco.html,yes
rancho-penasquitos,Los Penasquitos,1835,interim,Castro,Francisco Maria Ruiz,13316,2,San Diego,SD 142,Confirmed,Francisco M. Ruiz,"Apl. 13, 1876","8,486.01",525,,https://digicoll.lib.berkeley.edu/record/265878,https://ranchos.archivesofcalifornia.com/r/rancho-penasquitos.html,yes
rancho-cotate,Cotate,1844,micheltorena,Micheltorena,Juan Castaneda,17238,4,Sonoma,ND 156,Confirmed,Thomas S. Page,"Feb. 18, 1858","17,238.60",65,,https://digicoll.lib.berkeley.edu/record/265516,https://ranchos.archivesofcalifornia.com/r/rancho-cotate.html,yes
rancho-corralitos,Los Corralitos,1844,micheltorena,Micheltorena,Jose Amesti,15440,4,Santa Cruz,SD 175,Confirmed,Jose Amesti,"Feb. 28, 1861","15,440.02",218,,https://digicoll.lib.berkeley.edu/record/266133,https://ranchos.archivesofcalifornia.com/r/rancho-corralitos.html,yes
rancho-llano-tequisquita,Llano Del Tequisquita,1835,interim,Castro,José M. Sanchez,16016,,,SD 106,Confirmed,Vicente Sanchez et al,"Dec. 29, 1871","16,016.30",230,,https://digicoll.lib.berkeley.edu/record/265848,https://ranchos.archivesofcalifornia.com/r/rancho-llano-tequisquita.html,yes
rancho-canada-vaqueros,Canada De Los Vaqueros,1844,micheltorena,Micheltorena,Francisco Alvisu et al,17760,,Contra Costa,ND 386,Confirmed,Robert Livermore and Jose Noriega,"Nov. 22, 1889","17,760.00",109,,https://digicoll.lib.berkeley.edu/record/256659,https://ranchos.archivesofcalifornia.com/r/rancho-canada-vaqueros.html,yes
rancho-laguna-seca-1,La Laguna Seca,1834,figueroa,Figueroa,Liberta Ceseña Bull,19972,,,ND 211,Confirmed,Liberta Cese\u00f1a Bull et al,"Nov. 24, 1865","19,972.92",196,,https://digicoll.lib.berkeley.edu/record/265803,https://ranchos.archivesofcalifornia.com/r/rancho-laguna-seca-1.html,yes
rancho-cosumnes,Cosumnes,1844,micheltorena,Micheltorena,Salvador Oslo,26605,5,Sacramento,ND 362,Confirmed,the heirs of W.E.P. Hartnell,"Apl. 29, 1869","26,605.37",94,,https://digicoll.lib.berkeley.edu/record/264199,https://ranchos.archivesofcalifornia.com/r/rancho-cosumnes.html,yes
rancho-yajome,Yajome,1841,alvarado,Alvarado,Tomaso A. Rodriguez,6652,1½,Napa,ND 039,Confirmed,Salvador Vallejo,"Sept. 16, 1864","6,652.58",77,,https://digicoll.lib.berkeley.edu/record/264426,https://ranchos.archivesofcalifornia.com/r/rancho-yajome.html,yes
rancho-san-emigdio,San Emigdio,1842,alvarado,Alvarado,Jose Antonio Dominguez,17709,4,,SD 344,Patented,Francisco Dominguez and John C. Fremont,"Apl. 10, 1866","17,709.79",343,,https://digicoll.lib.berkeley.edu/record/268966,https://ranchos.archivesofcalifornia.com/r/rancho-san-emigdio.html,yes
rancho-san-ramon-amador,San Ramon {Amador},1834,figueroa,Figueroa,José María Amador,16516,,Contra Costa,ND 144,Confirmed,Jose Maria Amador,"Mar. 18, 1865","16,516.95",118,,https://digicoll.lib.berkeley.edu/record/265504,https://ranchos.archivesofcalifornia.com/r/rancho-san-ramon-amador.html,yes
rancho-punta-quintin,Punta De Quintin,1840,alvarado,Alvarado,Juan B. R. Cooper,8877,2,,ND 372,Confirmed,Benjamin R. Buckelew,"Apl. 10, 1866","8,877.44",41,,https://digicoll.lib.berkeley.edu/record/264208,https://ranchos.archivesofcalifornia.com/r/rancho-punta-quintin.html,yes
rancho-llano-santa-rosa,Llano De Santa Rosa,1844,micheltorena,Micheltorena,Joaquín Carrillo,13316,,Sonoma,ND 058,Confirmed,Joaquin Carrillo,"Nov. 27, 1865","13,316.03",64,,https://digicoll.lib.berkeley.edu/record/264444,https://ranchos.archivesofcalifornia.com/r/rancho-llano-santa-rosa.html,yes
rancho-tomales-baulines,Tomales Y Baulines (Garcia),1836,interim,the interim government,Rafael García,9467,,Marin,ND 068,Confirmed,Rafael Garcia,"Oct. 15, 1883","9,467.77",38,,https://digicoll.lib.berkeley.edu/record/264452,https://ranchos.archivesofcalifornia.com/r/rancho-tomales-baulines.html,yes
rancho-uvas,Las Uvas,1842,alvarado,Alvarado,Lorenzo Pineda,11079,3,Santa Clara,ND 174,Confirmed,Martin J.C. Murphy,"Feb. 18, 1860","11,079.93",200,,https://digicoll.lib.berkeley.edu/record/265534,https://ranchos.archivesofcalifornia.com/r/rancho-uvas.html,yes
rancho-baulines,Las Baulines,1846,pico,Pio Pico,G. Briones,8911,2,Marin,ND 189,Confirmed,Gregorio Briones,"Jan. 9, 1866","8,911.34",35,,https://digicoll.lib.berkeley.edu/record/265785,https://ranchos.archivesofcalifornia.com/r/rancho-baulines.html,yes
rancho-arroyo-nueces-bolbones,Arroyo De Las Nueces Y Bolbones,1834,figueroa,Jose Figueroa,J. S. de Pacheco,17782,2,Contra Costa,ND 046,Confirmed,the heirs of Juana Sanchez de Pacheco,"Apl. 18, 1866","17,782.48",115,,https://digicoll.lib.berkeley.edu/record/264433,https://ranchos.archivesofcalifornia.com/r/rancho-arroyo-nueces-bolbones.html,yes
rancho-san-carlos-jonata,San Carlos De Jonata,1845,pico,Pio Pico,J. Carrillo et al,26634,6,Santa Barbara,SD 156,Confirmed,Joaquin and Jose M. Covarrubias,"Dec. 2, 1872","26,634.31",369,,https://digicoll.lib.berkeley.edu/record/266116,https://ranchos.archivesofcalifornia.com/r/rancho-san-carlos-jonata.html,yes
rancho-laguna-1,La Laguna (Stearns),1844,micheltorena,Micheltorena,Julian Manriquez,13338,3,Riverside,SD 161,Confirmed,Abel Stearns,"Sept. 3, 1872","13,338.84",495,,https://digicoll.lib.berkeley.edu/record/266120,https://ranchos.archivesofcalifornia.com/r/rancho-laguna-1.html,yes
rancho-flores,Las Flores,1844,micheltorena,Micheltorena,Guillermo G. Chard,13315,,Tehama,ND 025,Confirmed,William G. Chard,"Sept. 19, 1859","13,315.58",4,,https://digicoll.lib.berkeley.edu/record/264413,https://ranchos.archivesofcalifornia.com/r/rancho-flores.html,yes
rancho-santa-ysabel,Santa Ysabel,1844,micheltorena,Micheltorena,José Ortega and Eduardo Stokes,17719,,San Diego,SD 191,Confirmed,Jose Joaquin Ortega et al,"May 14, 1872","17,719.40",510,,https://digicoll.lib.berkeley.edu/record/267538,https://ranchos.archivesofcalifornia.com/r/rancho-santa-ysabel.html,yes
rancho-suisun,Suisun,1842,alvarado,Alvarado,Francisco Solano,754,4,Solano,ND 002,Confirmed,,"Jan. 17, 1857",,91,17 How. 524,https://digicoll.lib.berkeley.edu/record/264397,https://ranchos.archivesofcalifornia.com/r/rancho-suisun.html,yes
rancho-sierra-1,La Sierra (Yorba),1846,pico,Pio Pico,B. Yorba,17786,4,Riverside,SD 126,Confirmed,Bernardo Yorba,"Feb. 4, 1875","17,786.89",485,,https://digicoll.lib.berkeley.edu/record/265866,https://ranchos.archivesofcalifornia.com/r/rancho-sierra-1.html,yes
rancho-rio-molinos,Rio De Los Molinos,1844,micheltorena,Micheltorena,Alberto J. Toomes,22172,,Tehama,ND 091,Confirmed,Albert J. Toomes,"Dec. 3, 1858","22,172.46",6,,https://digicoll.lib.berkeley.edu/record/265453,https://ranchos.archivesofcalifornia.com/r/rancho-rio-molinos.html,yes
