id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped,docket_relation
rancho-pulgas,Pulgas,1835,spanish,a Spanish governor,Luis Arguello,35240,4,San Mateo,ND 054,Confirmed,Mar\u00eda de la Soledad Ortega de Arg\u00fcello et al,"Oct. 2, 1857","35,240.47",148,18 Howard 539,https://digicoll.lib.berkeley.edu/record/264441,https://ranchos.archivesofcalifornia.com/r/rancho-pulgas.html,yes,sole
rancho-rio-americanos,Rio De Los Americanos,1844,micheltorena,Micheltorena,Guillermo A. Leidesdorff,35521,8,Sacramento,ND 359,Confirmed,,"Oct. 28, 1864",,98,,https://digicoll.lib.berkeley.edu/record/264196,https://ranchos.archivesofcalifornia.com/r/rancho-rio-americanos.html,yes,sole
rancho-orestimba,Orestimba,1844,micheltorena,Micheltorena,Sebastian Nunez,26666,6,Stanislaus,ND 057,Confirmed,Sebastian Nuñez,"July 30, 1863","26,666.39",105,,https://digicoll.lib.berkeley.edu/record/264443,https://ranchos.archivesofcalifornia.com/r/rancho-orestimba.html,yes,sole
rancho-valle-san-jose-1,Valle De San Jose,1839,alvarado,Alvarado,Antonio Maria Pico et al,435,,,ND 102,Confirmed,,,,121,20 Howard 261,https://digicoll.lib.berkeley.edu/record/265462,https://ranchos.archivesofcalifornia.com/r/rancho-valle-san-jose-1.html,yes,sole
rancho-san-francisco,San Francisco,1839,alvarado,Alvarado,Antonio del Valle,48611,,Ventura,SD 303,Confirmed,Jacoba Feliz et al,"Feb. 12, 1875","48,611.88",399,,https://digicoll.lib.berkeley.edu/record/268929,https://ranchos.archivesofcalifornia.com/r/rancho-san-francisco.html,yes,sole
rancho-nuestra-senora-refugio,Nuestra Senora Del Refugio,1834,spanish,Jose Figueroa,Antonio M. Ortega,26529,,Santa Barbara,SD 154,Confirmed,Antonio M. Ortega and Magdelena Cota de Ortega,"July 28, 1866","26,529.30",379,,https://digicoll.lib.berkeley.edu/record/266114,https://ranchos.archivesofcalifornia.com/r/rancho-nuestra-senora-refugio.html,yes,sole
rancho-san-joaquin-2,San Joaquin,1836,interim,Nicolas Gutierrez,C. Cervantes,7424,2,,SD 178,Confirmed,Cruz Cervantes,"Jan. 6, 1874","7,424.69",232,18 Howard 553,https://digicoll.lib.berkeley.edu/record/264495,https://ranchos.archivesofcalifornia.com/r/rancho-san-joaquin-2.html,yes,sole
rancho-punta-concepcion,Punta De La Concepcion,1837,alvarado,Alvarado,A. Carrillo,992,,Santa Barbara,SD 118,Confirmed,,"July 30, 1863",,375,,https://digicoll.lib.berkeley.edu/record/265859,https://ranchos.archivesofcalifornia.com/r/rancho-punta-concepcion.html,yes,sole
rancho-san-pedro-santa-margarita-gallinas,San Pedro Santa Margarita Y Las Gallinas,1844,micheltorena,Micheltorena,T. Murphy,21678,5,Marin,ND 016,Confirmed,Timothy Murphy,"Feb. 21, 1866","21,678.69",44,,https://digicoll.lib.berkeley.edu/record/264408,https://ranchos.archivesofcalifornia.com/r/rancho-san-pedro-santa-margarita-gallinas.html,yes,sole
rancho-san-lorenzo-4,San Lorenzo (Sanchez),1846,pico,Pio Pico,R. Sanchez,48285,11,,SD 277,Confirmed,Rafael Sanchez,"Nov. 22, 1870","48,285.95",300,,https://digicoll.lib.berkeley.edu/record/268904,https://ranchos.archivesofcalifornia.com/r/rancho-san-lorenzo-4.html,yes,sole
